MatchID,TotalSeconds,HomeTeam,RoadTeam,HomeNumberPenalties,RoadNumberPenalties,HomeTeamPMinutes,RoadTeamPMinutes,HomePenaltySum,RoadPenaltySum,HomeGoals-RoadGoals,RoadGoals-HomeGoals,KurtHomePlayers-KurtRoadPlayers,RoadPlayers,HomePlayers,OliverHomePlayers-OliverRoadPlayers,Period,TimeOfPenalty,minutes,seconds,isRegular
2007020097,1922,26,9,1,1,2,2,1,3,-1,1,0,11,12,1,2,00:12:02,32,2,1
2007020097,2627,26,9,1,1,5,5,4,4,0,0,0,12,11,-1,3,00:03:47,43,47,1
2007020097,2870,26,9,1,1,2,2,5,6,-1,1,0,12,11,-1,3,00:07:50,47,50,1
2007020098,1575,8,30,1,1,2,2,2,3,0,0,0,11,12,1,2,00:06:15,26,15,1
2007020099,198,15,29,1,1,5,5,1,0,-1,1,0,12,11,-1,1,00:03:18,3,18,1
2007020100,1200,4,11,1,1,5,5,2,1,3,-3,0,0,0,0,1,00:20:00,20,0,1
2007020101,1034,25,19,1,1,5,5,0,2,1,-1,0,11,12,1,1,00:17:14,17,14,1
2007020103,569,1,4,1,1,5,5,2,0,0,0,0,11,12,1,1,00:09:29,9,29,1
2007020104,614,2,8,1,1,2,2,1,2,1,-1,0,11,12,1,1,00:10:14,10,14,1
2007020105,1485,27,21,2,0,15,0,1,3,2,-2,0,12,11,-1,2,00:04:45,24,45,1
2007020105,1856,27,21,2,1,4,2,3,3,1,-1,0,17,16,-1,2,00:10:56,30,56,1
2007020107,2794,7,29,1,1,2,2,3,4,0,0,0,12,11,-1,3,00:06:34,46,34,1
2007020108,2552,3,15,1,1,5,5,5,2,-1,1,0,11,12,1,3,00:02:32,42,32,1
2007020108,2781,3,15,1,1,5,5,6,3,-1,1,0,11,12,1,3,00:06:21,46,21,1
2007020109,1352,12,31,0,1,0,2,0,1,1,-1,1,6,7,1,2,00:02:32,22,32,1
2007020110,190,22,10,1,1,5,5,0,1,1,-1,0,12,12,0,1,00:03:10,3,10,1
2007020110,3026,22,10,1,1,2,2,8,3,2,-2,0,12,11,-1,3,00:10:26,50,26,1
2007020110,3529,22,10,3,1,22,10,9,5,2,-2,0,24,24,0,3,00:18:49,58,49,1
2007020112,1914,16,6,1,1,5,5,5,3,1,-1,0,11,12,1,2,00:11:54,31,54,1
2007020112,2091,16,6,1,1,5,5,6,5,1,-1,0,12,11,-1,2,00:14:51,34,51,1
2007020112,3433,16,6,1,2,2,4,8,7,2,-2,0,16,17,1,3,00:17:13,57,13,1
2007020113,1429,24,9,0,1,0,2,3,2,1,-1,-2,7,5,-2,2,00:03:49,23,49,1
2007020114,592,26,17,1,1,2,2,2,0,0,0,0,12,11,-1,1,00:09:52,9,52,1
2007020115,905,30,25,1,1,2,2,1,1,-2,2,1,10,11,1,1,00:15:05,15,5,1
2007020115,1851,30,25,0,2,0,4,4,6,-1,1,0,11,12,1,2,00:10:51,30,51,1
2007020117,1061,29,25,1,0,2,0,0,3,0,0,5,1,6,5,1,00:17:41,17,41,1
2007020117,1479,29,25,1,2,5,7,1,3,0,0,0,16,18,2,2,00:04:39,24,39,1
2007020117,2264,29,25,1,2,5,7,3,5,1,-1,0,16,18,2,2,00:17:44,37,44,1
2007020117,2701,29,25,1,1,5,5,5,7,1,-1,0,11,12,1,3,00:05:01,45,1,1
2007020118,3235,2,13,1,2,2,4,3,5,5,-5,0,15,18,3,3,00:13:55,53,55,1
2007020119,1169,16,26,1,1,5,5,1,0,-1,1,0,12,12,0,1,00:19:29,19,29,1
2007020119,2793,16,26,3,1,17,5,4,4,-4,4,0,21,21,0,3,00:06:33,46,33,1
2007020123,934,18,10,1,1,5,5,1,1,0,0,0,11,12,1,1,00:15:34,15,34,1
2007020123,1635,18,10,1,1,5,5,2,2,0,0,0,11,12,1,2,00:07:15,27,15,1
2007020123,1894,18,10,1,1,5,5,3,4,1,-1,0,12,11,-1,2,00:11:34,31,34,1
