ELD,FD,LOG,LR,absLR,class,ID
11.9497,11.9497,100.0799,2.9742,11.9497,1,51
11.9497,11.9497,99.1097,3.2891,11.9497,1,24
11.9497,11.9497,104.5107,2.109,11.9497,1,141
11.9497,11.9497,105.3758,1.2438,11.9497,1,97
11.9497,11.9497,106.031,0.6936,11.9497,1,118
11.9497,11.9497,104.5107,2.109,11.9497,1,199
11.9497,11.9497,100.1849,2.9742,11.9497,1,227
11.9497,11.9497,100.2898,2.9742,11.9497,1,129
11.9497,11.9497,105.9659,0.6936,11.9497,1,43
11.9497,11.9497,104.5107,2.109,11.9497,1,157
11.9497,11.9497,105.926,0.6936,11.9497,1,78
11.9497,11.9497,106.241,0.3787,11.9497,1,133
11.9497,11.9497,99.3197,3.2891,11.9497,1,18
11.9497,11.9497,106.241,0.3787,11.9497,1,179
11.9497,11.9497,105.9659,0.6936,11.9497,1,236
11.9497,11.9497,106.726,0.1714,11.9497,1,88
11.9497,11.9497,105.3758,1.2438,11.9497,1,212
11.9497,11.9497,105.1007,1.5588,11.9497,1,200
11.9497,11.9497,105.4808,1.2438,11.9497,1,131
7.9852,7.9852,106.4111,0.3209,7.9852,1,154
7.9852,7.9852,103.5405,2.0646,7.9852,1,63
7.9852,7.9852,106.4509,0.3209,7.9852,1,130
7.9852,7.9852,102.6754,2.2745,7.9852,1,101
7.9852,7.9852,105.5858,0.5442,7.9852,1,148
7.9852,7.9852,105.7559,0.3342,7.9852,1,98
7.9852,7.9852,104.8907,1.1994,7.9852,1,222
7.9852,7.9852,103.6455,2.0646,7.9852,1,57
7.9852,7.9852,105.8609,0.3342,7.9852,1,107
7.9852,7.9852,103.7505,2.0646,7.9852,1,124
7.9852,7.9852,106.6211,0.5308,7.9852,1,2
7.9852,7.9852,105.5858,0.5442,7.9852,1,62
7.9852,7.9852,105.5858,0.5442,7.9852,1,159
7.9852,7.9852,106.6211,0.5308,7.9852,1,21
7.9852,7.9852,106.6211,0.5308,7.9852,1,17
7.9852,7.9852,104.8907,1.1994,7.9852,1,215
7.9852,7.9852,105.8609,0.3342,7.9852,1,175
7.9852,7.9852,104.6808,1.4094,7.9852,1,38
7.9852,7.9852,102.1902,2.2745,7.9852,1,96
7.9852,7.9852,104.6808,1.4094,7.9852,1,209
7.9852,7.9852,103.6455,2.0646,7.9852,1,198
7.9852,7.9852,105.6509,0.5442,7.9852,1,1
7.9852,7.9852,105.5858,0.5442,7.9852,1,37
7.9852,7.9852,105.7559,0.3342,7.9852,1,95
7.9852,7.9852,103.6455,2.0646,7.9852,1,191
7.9852,7.9852,106.4111,0.3209,7.9852,1,54
7.9852,7.9852,102.6754,2.2745,7.9852,1,168
7.9852,7.9852,105.8609,0.3342,7.9852,1,197
7.9852,7.9852,104.6808,1.4094,7.9852,1,225
7.9852,7.9852,105.8609,0.3342,7.9852,1,11
7.9852,7.9852,105.5858,0.5442,7.9852,1,48
7.9852,7.9852,104.6808,1.4094,7.9852,1,36
7.9852,7.9852,105.5858,0.5442,7.9852,1,15
7.9852,7.9852,102.2953,2.2745,7.9852,1,207
7.9852,7.9852,104.7206,1.4094,7.9852,1,120
7.9852,7.9852,106.6211,0.5308,7.9852,1,184
7.9852,7.9852,105.7559,0.3342,7.9852,1,23
7.9852,7.9852,104.8907,1.1994,7.9852,1,149
7.9852,7.9852,105.7559,0.3342,7.9852,1,40
3.9981,3.9981,99.4246,2.3381,3.9981,1,240
3.9981,3.9981,104.1306,1.4729,3.9981,1,171
3.9981,3.9981,104.0256,1.4729,3.9981,1,229
3.9981,3.9981,104.0907,1.4729,3.9981,1,189
3.9981,3.9981,106.136,0.3623,3.9981,1,217
3.9981,3.9981,105.3758,0.5028,3.9981,1,136
3.9981,3.9981,105.2057,0.6078,3.9981,1,165
3.9981,3.9981,99.6997,2.2331,3.9981,1,45
3.9981,3.9981,106.0709,0.2572,3.9981,1,74
3.9981,3.9981,105.2708,0.5028,3.9981,1,91
3.9981,3.9981,99.4246,2.3381,3.9981,1,188
3.9981,3.9981,99.4898,2.2331,3.9981,1,8
3.9981,3.9981,105.3758,0.5028,3.9981,1,221
3.9981,3.9981,105.1658,0.6078,3.9981,1,85
3.9981,3.9981,106.241,0.3623,3.9981,1,152
3.9981,3.9981,106.136,0.3623,3.9981,1,181
3.9981,3.9981,105.1658,0.6078,3.9981,1,44
3.9981,3.9981,106.7912,1.2274,3.9981,1,111
3.9981,3.9981,105.2708,0.6078,3.9981,1,158
3.9981,3.9981,105.3758,0.5028,3.9981,1,220
3.9981,3.9981,99.4246,2.3381,3.9981,1,55
3.9981,3.9981,106.0709,0.2572,3.9981,1,84
3.9981,3.9981,106.0709,0.2572,3.9981,1,105
3.9981,3.9981,99.4246,2.3381,3.9981,1,180
3.9981,3.9981,105.3758,0.5028,3.9981,1,122
3.9981,3.9981,105.2708,0.6078,3.9981,1,14
3.9981,3.9981,106.241,0.3623,3.9981,1,169
3.9981,3.9981,104.4057,1.368,3.9981,1,226
3.9981,3.9981,105.3758,0.5028,3.9981,1,186
3.9981,3.9981,106.241,0.3623,3.9981,1,145
3.9981,3.9981,105.2708,0.5028,3.9981,1,231
3.9981,3.9981,104.2356,1.4729,3.9981,1,116
3.9981,3.9981,106.726,1.1224,3.9981,1,162
3.9981,3.9981,106.726,1.1224,3.9981,1,208
3.9981,3.9981,104.4057,1.368,3.9981,1,42
3.9981,3.9981,106.726,1.2274,3.9981,1,89
3.9981,3.9981,105.2708,0.6078,3.9981,1,156
3.9981,3.9981,99.8047,2.2331,3.9981,1,185
3.9981,3.9981,104.4057,1.368,3.9981,1,213
3.9981,3.9981,106.726,1.2274,3.9981,1,77
3.9981,3.9981,105.2708,0.6078,3.9981,1,144
3.9981,3.9981,104.4057,1.368,3.9981,1,230
3.9981,3.9981,99.3197,2.3381,3.9981,1,65
3.9981,3.9981,104.3007,1.4729,3.9981,1,115
3.9981,3.9981,104.1957,1.4729,3.9981,1,132
3.9981,3.9981,104.1306,1.4729,3.9981,1,161
3.9981,3.9981,104.4455,1.368,3.9981,1,190
3.9981,3.9981,99.4246,2.3381,3.9981,1,53
3.9981,3.9981,99.8047,2.2331,3.9981,1,103
3.9981,3.9981,104.0256,1.4729,3.9981,1,70
3.9981,3.9981,106.0709,0.2572,3.9981,1,138
3.9981,3.9981,106.136,0.3623,3.9981,1,196
3.9981,3.9981,106.726,1.1224,3.9981,1,224
3.9981,3.9981,105.1658,0.6078,3.9981,1,3
3.9981,3.9981,106.0709,0.2572,3.9981,1,126
