ELD,FD,LOG,LR,absLR,class,ID
16.4757,9.6786,76.3466,1.6318,16.4757,1,135
16.4757,9.6786,74.4157,1.6318,16.4757,1,207
16.4757,9.6786,74.4157,1.6318,16.4757,1,24
16.4757,9.6786,74.3895,1.6318,16.4757,1,74
16.4757,9.6786,74.3895,1.6318,16.4757,1,92
16.4757,9.6786,76.3466,1.6318,16.4757,1,167
16.4757,9.6786,74.4157,1.6318,16.4757,1,213
16.4757,9.6786,74.4157,1.6318,16.4757,1,37
16.4757,9.6786,74.3895,1.6318,16.4757,1,48
16.4757,9.6786,74.3895,1.6318,16.4757,1,51
16.4757,9.6786,74.3895,1.6318,16.4757,1,80
16.4757,9.6786,74.3895,1.6318,16.4757,1,84
16.4757,9.6786,76.3466,1.6318,16.4757,1,140
16.4757,9.6786,76.3205,1.6318,16.4757,1,184
16.4757,9.6786,76.3205,1.6318,16.4757,1,176
16.4757,9.6786,74.4157,1.6318,16.4757,1,211
16.4757,9.6786,74.4157,1.6318,16.4757,1,23
16.4757,9.6786,74.3895,1.6318,16.4757,1,39
16.4757,9.6786,74.3895,1.6318,16.4757,1,93
18.5973,11.541,87.4869,5.1086,15.8648,1,120
18.5973,11.541,87.4607,5.1086,15.8648,1,78
18.5973,11.541,83.0775,5.1086,15.8648,1,96
18.5973,11.541,87.4869,5.1086,15.8648,1,101
18.5973,11.541,87.4607,5.1086,15.8648,1,55
18.5973,11.541,83.0775,5.1086,15.8648,1,95
18.5973,11.541,87.4869,5.1086,15.8648,1,188
18.5973,11.541,87.4869,5.1086,15.8648,1,223
18.5973,11.541,91.7916,5.1086,15.8648,1,8
18.5973,11.541,87.4869,5.1086,15.8648,1,35
29.6189,19.5707,83.0775,5.1348,15.844,1,157
29.6189,19.5707,87.4869,5.1348,15.844,1,26
29.6189,19.5707,83.0775,5.1348,15.844,1,110
29.6189,19.5707,83.0775,5.1348,15.844,1,18
29.6189,19.5707,87.4869,5.1348,15.844,1,64
29.6189,19.5707,87.4869,5.1348,15.844,1,68
24.7184,15.5559,83.1559,1.6565,15.0004,1,15
24.7184,15.5559,83.1559,1.6565,15.0004,1,164
24.7184,15.5559,83.1298,1.6565,15.0004,1,19
24.7184,15.5559,83.1298,1.6565,15.0004,1,210
24.7184,15.5559,83.1298,1.6565,15.0004,1,225
24.7184,15.5559,83.1298,1.6565,15.0004,1,38
24.7184,15.5559,83.1298,1.6565,15.0004,1,70
24.7184,15.5559,83.1559,1.6565,15.0004,1,116
24.7184,15.5559,83.1298,1.6565,15.0004,1,189
24.7184,15.5559,83.1298,1.6565,15.0004,1,58
24.7184,15.5559,83.1298,1.6565,15.0004,1,61
24.7184,15.5559,83.1298,1.6565,15.0004,1,90
24.7184,15.5559,83.1298,1.6565,15.0004,1,165
24.7184,15.5559,83.1298,1.6565,15.0004,1,190
24.7184,15.5559,83.1298,1.6565,15.0004,1,53
24.7184,15.5559,83.1298,1.6565,15.0004,1,79
29.6448,19.5707,70.0063,1.0895,13.7011,1,197
29.6448,19.5707,70.0063,1.0895,13.7011,1,214
29.6448,19.5707,70.0063,1.0895,13.7011,1,56
29.6448,19.5707,70.0063,1.0895,13.7011,1,81
29.6448,19.5707,70.0325,1.0895,13.7011,1,112
29.6448,19.5707,70.0063,1.0895,13.7011,1,149
29.6448,19.5707,70.0063,1.0895,13.7011,1,231
29.6448,19.5707,70.0063,1.0895,13.7011,1,73
29.6448,19.5707,70.0063,1.0895,13.7011,1,115
29.6448,19.5707,70.0063,1.0895,13.7011,1,166
29.6448,19.5707,70.0063,1.0895,13.7011,1,201
29.6448,19.5707,70.0063,1.0895,13.7011,1,50
29.6448,19.5707,70.0063,1.0895,13.7011,1,94
29.6448,19.5707,70.0063,1.0895,13.7011,1,114
18.8536,11.541,70.0325,1.0633,13.6803,1,163
18.8536,11.541,70.0325,1.0633,13.6803,1,77
18.8536,11.541,70.0325,1.0633,13.6803,1,177
18.8536,11.541,70.0325,1.0633,13.6803,1,209
18.8536,11.541,70.0325,1.0633,13.6803,1,212
18.8536,11.541,70.0325,1.0633,13.6803,1,22
18.8536,11.541,70.0325,1.0633,13.6803,1,132
