ELD,FD,LOG,LR,absLR,class,ID
14.2312,3.741,73.3013,2.5293,14.0959,1,28
14.2312,3.741,73.3013,2.5293,14.0959,1,85
14.2312,3.741,73.3013,2.5293,14.0959,1,91
14.2312,3.741,73.3013,2.5293,14.0959,1,156
14.2312,3.741,73.3013,2.5293,14.0959,1,235
14.2312,3.741,73.3013,2.5293,14.0959,1,227
13.7893,0.5429,52.6791,13.2476,13.6466,1,204
13.7893,0.5429,52.6791,8.77851,13.6466,1,232
13.7893,0.5429,52.6791,13.2476,13.6466,1,224
13.7893,0.5429,52.6791,13.2476,13.6466,1,180
13.7893,0.5429,52.6791,13.2476,13.6466,1,5
13.6448,0.5429,68.3497,4.212,13.502,1,53
13.6448,0.5429,68.3497,4.212,13.502,1,190
13.6448,0.5429,68.3497,4.212,13.502,1,38
13.6448,0.5429,68.3497,4.212,13.502,1,19
13.6448,0.5429,68.3497,4.212,13.502,1,210
13.6448,0.5429,68.3497,4.212,13.502,1,225
13.6448,0.5429,68.3497,4.212,13.502,1,116
13.6448,0.5429,68.3497,4.212,13.502,1,189
13.6448,0.5429,68.3497,4.212,13.502,1,58
13.6448,0.5429,68.3497,4.212,13.502,1,79
13.6448,0.5429,68.3497,4.212,13.502,1,165
13.6448,0.5429,68.3497,4.212,13.502,1,70
13.6448,0.5429,68.3497,4.212,13.502,1,15
13.6448,0.5429,68.3497,4.212,13.502,1,164
13.6448,0.5429,68.3497,4.212,13.502,1,61
13.6448,0.5429,68.3497,4.212,13.502,1,90
12.8172,7.7281,85.0228,0.7116,12.5315,1,161
8.667,0.5429,91.7928,0.674,8.524,1,21
8.5579,4.5411,82.0401,0.5228,8.4076,1,132
8.5579,4.5411,82.0401,0.5228,8.4076,1,209
8.5579,4.5411,82.0401,0.5228,8.4076,1,150
8.5579,4.5411,82.0401,0.5228,8.4076,1,77
8.5579,4.5411,82.0401,0.5228,8.4076,1,163
8.5579,4.5411,82.0401,0.5228,8.4076,1,177
8.5579,4.5411,82.0401,0.5228,8.4076,1,212
8.5579,4.5411,82.0401,0.5228,8.4076,1,22
8.4149,4.5411,88.8101,0.3878,8.2794,1,27
8.4149,4.5411,88.8101,0.3878,8.2794,1,181
8.4149,4.5411,88.8101,0.3878,8.2794,1,71
8.4149,4.5411,88.8101,0.3878,8.2794,1,54
8.4149,4.5411,88.8101,0.3878,8.2794,1,76
8.4149,4.5411,88.8101,0.3878,8.2794,1,148
8.1776,0.5429,78.2528,0.9439,8.0348,1,14
8.1776,0.5429,78.2528,0.9439,8.0348,1,11
8.1776,0.5429,78.2528,0.9439,8.0348,1,203
8.1776,0.5429,78.2528,0.9439,8.0348,1,59
8.1776,0.5429,78.2528,0.9439,8.0348,1,16
8.1776,0.5429,78.2528,0.9439,8.0348,1,202
8.1776,0.5429,78.2528,0.9439,8.0348,1,238
8.1776,0.5429,78.2528,0.9439,8.0348,1,10
8.1776,0.5429,78.2528,0.9439,8.0348,1,194
8.1776,0.5429,78.2528,0.9439,8.0348,1,179
8.1776,0.5429,78.2528,0.9439,8.0348,1,192
8.1776,0.5429,78.2528,0.9439,8.0348,1,220
8.1776,0.5429,78.2528,0.9439,8.0348,1,133
8.1776,0.5429,78.2528,0.9439,8.0348,1,162
7.824,3.741,82.0401,0.4254,7.6887,1,81
7.824,3.741,82.0401,0.4254,7.6887,1,197
7.824,3.741,82.0401,0.4254,7.6887,1,73
7.824,3.741,82.0401,0.4254,7.6887,1,231
7.824,3.741,82.0401,0.4254,7.6887,1,50
7.824,3.741,82.0401,0.4254,7.6887,1,94
7.824,3.741,82.0401,0.4254,7.6887,1,115
7.824,3.741,82.0401,0.4254,7.6887,1,166
7.824,3.741,82.0401,0.4254,7.6887,1,201
7.824,3.741,82.0401,0.4254,7.6887,1,114
7.824,3.741,82.0401,0.4254,7.6887,1,56
7.824,3.741,82.0401,0.4254,7.6887,1,214
7.824,3.741,82.0401,0.4254,7.6887,1,112
7.824,3.741,82.0401,0.4254,7.6887,1,149
7.5485,3.741,88.8101,0.2904,7.398,1,226
7.5485,3.741,88.8101,0.2904,7.398,1,182
7.5485,3.741,88.8101,0.2904,7.398,1,130
7.5485,3.741,88.8101,0.2904,7.398,1,72
7.5485,3.741,88.8101,0.2904,7.398,1,119
7.5485,3.741,88.8101,0.2904,7.398,1,191
0.8816,0.5429,85.8275,0.0043,0.8128,1,125
0.8816,0.5429,85.8275,0.0043,0.8128,1,43
0.8816,0.5429,85.8275,0.0043,0.8128,1,65
0.8816,0.5429,85.8275,0.0043,0.8128,1,187
0.8816,0.5429,85.8275,0.0043,0.8128,1,200
0.8816,0.5429,85.8275,0.0043,0.8128,1,1
0.8816,0.5429,85.8275,0.0043,0.8128,1,178
0.8816,0.5429,85.8275,0.0043,0.8128,1,17
