FromNodeId,ToNodeId,ACTION,Occurrences,ActionValue
4951,235396,PENALTY,24,-0.049977376451586814
6502,235401,PENALTY,23,-0.02615316324549316
1006,239729,PENALTY,16,-0.13444461531294638
188,252471,PENALTY,16,-0.08754883397681057
1573,254492,PENALTY,16,-0.11223885755078278
8349,308792,PENALTY,15,-0.04049227960670798
2910,341540,PENALTY,19,-0.12636085129911795
178,348049,PENALTY,20,-0.020346089451283467
6502,460810,PENALTY,17,-0.027212400319780783
86,120,PENALTY,52,-0.10692835402190198
418,419,PENALTY,25,-0.09573707492254707
187,477,PENALTY,98,-0.05674774869078958
760,858,PENALTY,60,-0.11337575080512363
121,966,PENALTY,46,-0.032327096210352846
2,1241,PENALTY,101,-0.08003286638720553
178,1648,PENALTY,55,-0.08981649302514383
63,1688,PENALTY,30,-0.12285160987661131
1803,1842,PENALTY,135,-0.09070761902609187
592,1983,PENALTY,15,-0.1487917176505283
98,2048,PENALTY,29,-0.15959081487095644
104,2062,PENALTY,85,-0.1354707864396406
86,2063,PENALTY,127,-0.1213180145977572
773,2136,PENALTY,29,-0.0979311183158349
258,2430,PENALTY,77,-0.03935752707042611
178,2431,PENALTY,73,-0.07082549646263381
15,2682,PENALTY,38,-0.11601024931514936
299,2714,PENALTY,250,-0.12466101184495731
695,2733,PENALTY,80,-0.1279573936296246
1381,2841,PENALTY,70,-0.04564626767317048
2311,3028,PENALTY,27,-0.12105932087148724
678,3231,PENALTY,31,-0.0995504901032731
647,3232,PENALTY,94,-0.08446621887169398
31,3395,PENALTY,51,-0.13059599942108968
647,3483,PENALTY,60,-0.08494473238432027
1381,3524,PENALTY,48,-0.04545336205288886
139,3702,PENALTY,18,-0.13843665157350293
72,3872,PENALTY,22,-0.14001614466276913
142,3998,PENALTY,60,-0.11472584903412125
18,4084,PENALTY,78,-0.124037134773892
711,4190,PENALTY,24,-0.13558914781043968
75,4583,PENALTY,88,-0.11750024128998138
916,4586,PENALTY,23,-0.13741079231086084
4872,4881,PENALTY,36,-0.10453963176596631
1803,5206,PENALTY,77,-0.08120028555261116
1803,5207,PENALTY,28,-0.0799278057292917
299,5585,PENALTY,107,-0.11759515704884899
338,5647,PENALTY,17,-0.0789828746974593
6502,6503,PENALTY,47,-0.08654894405953426
102,6640,PENALTY,39,-0.12437465900191402
22,6912,PENALTY,16,-0.16246779022501556
891,7122,PENALTY,15,-0.06289988220697706
299,7318,PENALTY,291,-0.12032487329127078
371,8035,PENALTY,21,-0.10013083530072353
12,8227,PENALTY,67,-0.043520210846065055
8349,8376,PENALTY,26,-0.08758604214513405
138,8723,PENALTY,47,-0.11398207837878749
2,8872,PENALTY,301,-0.10143480287475659
299,9345,PENALTY,228,-0.12221871185410971
1197,9541,PENALTY,29,-0.1156218214247361
104,9817,PENALTY,110,-0.12748762093882482
1641,9880,PENALTY,18,-0.09426436538956828
648,10009,PENALTY,52,-0.0863494467955016
63,10150,PENALTY,21,-0.13016265669247357
72,10679,PENALTY,19,-0.1390144135853455
62,10689,PENALTY,122,-0.11331911595364763
94,10708,PENALTY,22,-0.12439980293873876
75,10789,PENALTY,118,-0.11946612415215824
338,10824,PENALTY,37,-0.08968568672535521
8349,11843,PENALTY,20,-0.08472296703532523
8354,11855,PENALTY,15,-0.08268525780084346
15,12142,PENALTY,41,-0.12331782159459398
121,12474,PENALTY,15,-0.020989680778384534
210,12530,PENALTY,72,-0.08898849575065554
2268,12605,PENALTY,30,-0.12890508158203196
4478,12746,PENALTY,17,-0.10357203400354176
138,12922,PENALTY,64,-0.12361078338575515
338,13082,PENALTY,15,-0.08137629514283667
4383,13690,PENALTY,38,-0.110122422026942
1252,13827,PENALTY,93,-0.10704512942700795
1196,13869,PENALTY,121,-0.10737109062169964
1840,14099,PENALTY,41,-0.05918739405428569
3765,14262,PENALTY,54,-0.10445506770528828
1861,14491,PENALTY,27,-0.05960631040411879
695,14633,PENALTY,124,-0.12373224296204599
4243,14940,PENALTY,75,-0.02429263877958876
1381,15090,PENALTY,40,-0.04817018998075423
178,15520,PENALTY,47,-0.060117632021421674
751,15660,PENALTY,23,-0.13362865219223252
2311,15799,PENALTY,27,-0.12105932087148724
1028,15823,PENALTY,88,-0.11888688773786626
2605,16093,PENALTY,55,-0.06127388960619512
2605,16096,PENALTY,43,-0.051811257386391696
478,16215,PENALTY,37,-0.03492869582567776
2625,16233,PENALTY,48,-0.00599478809060261
2259,16316,PENALTY,33,-0.11254111957434354
751,16421,PENALTY,67,-0.1283729488531703
760,16422,PENALTY,38,-0.09029141456799783
3103,16430,PENALTY,23,-0.10861977174193466
1803,16702,PENALTY,42,-0.08063718107589912
4383,17136,PENALTY,21,-0.15611534982415565
2,17279,PENALTY,169,-0.08909987578911183
90,17323,PENALTY,27,-0.12568106745644742
4478,17446,PENALTY,27,-0.09587534722408919
4243,17447,PENALTY,21,-0.006379226143421457
62,17466,PENALTY,41,-0.10883965381367361
311,17482,PENALTY,16,-0.07970373472397368
161,17542,PENALTY,16,-0.13586017161958935
958,17945,PENALTY,15,-0.13835850167047814
859,18476,PENALTY,25,-0.02760465294409492
1844,18815,PENALTY,20,-0.12354233157724986
3103,18870,PENALTY,24,-0.10592764390790321
15,19208,PENALTY,48,-0.12978733774020568
380,19488,PENALTY,47,-0.10753943610617966
478,19893,PENALTY,40,-0.039355849486853334
671,20100,PENALTY,55,-0.11294765678610474
75,20234,PENALTY,46,-0.11775069299975183
178,20566,PENALTY,43,-0.053422975910451975
258,20588,PENALTY,36,-0.04362485967004054
1813,20867,PENALTY,31,-0.11628576006499486
2273,21116,PENALTY,78,-0.12538595262003815
801,21427,PENALTY,19,-0.10417606416617237
1006,22135,PENALTY,27,-0.09472117827938181
104,22355,PENALTY,30,-0.1253975796276845
187,22428,PENALTY,41,-0.060510356057711434
1343,22612,PENALTY,36,-0.06706784555165196
831,22986,PENALTY,39,-0.0735119626837093
4501,23869,PENALTY,29,-0.04000061494467322
86,24012,PENALTY,111,-0.10482171597664203
1840,24170,PENALTY,17,-0.004252055218365469
656,24498,PENALTY,42,-0.032199389700617864
1343,24557,PENALTY,32,-0.06812407956912503
8377,24822,PENALTY,18,-0.005846955835090151
2897,25486,PENALTY,30,-0.09343885898075976
4467,25589,PENALTY,17,-0.042063503227492194
104,25686,PENALTY,44,-0.12353060199513877
2273,25784,PENALTY,76,-0.13400901783287167
2707,27070,PENALTY,41,-0.04965939516830009
751,28143,PENALTY,24,-0.127393289826082
1028,28650,PENALTY,82,-0.13501019220612692
529,29677,PENALTY,15,-0.12796599049001123
2,29708,PENALTY,129,-0.07901375680598138
4265,31133,PENALTY,26,-0.009233978355857653
4478,31135,PENALTY,38,-0.08515244654771087
