Season,SeasonType,PlayerId,PlayerName,SumOfSumOfImpact,SSIRank
2013-2014,Regular Season,8471426,Troy Brouwer,7.191000066,212
2013-2014,Regular Season,8470626,Loui Eriksson,7.183426461,213
2013-2014,Regular Season,8474567,Zach Bogosian,7.156399191,214
2013-2014,Regular Season,8467876,Henrik Sedin,7.153226013,215
2013-2014,Regular Season,8469759,Vernon Fiddler,7.132188721,216
2013-2014,Regular Season,8476853,Morgan Rielly,7.114326818,217
2013-2014,Regular Season,8476851,Alex Galchenyuk,7.087960346,218
2013-2014,Regular Season,8471362,Mikhail Grabovski,7.062712914,219
2013-2014,Regular Season,8466378,Martin St. Louis,7.043162958,220
2013-2014,Regular Season,8474189,Lars Eller,7.015907385,221
2013-2014,Regular Season,8469492,Fedor Tyutin,7.012184667,222
2013-2014,Regular Season,8475172,Nazem Kadri,6.999174777,223
2013-2014,Regular Season,8467096,Dan Boyle,6.984015044,224
2013-2014,Regular Season,8466393,Pascal Dupuis,6.972608984,225
2013-2014,Regular Season,8471208,Dustin Penner,6.953654705,226
2013-2014,Regular Season,8469462,Tuomo Ruutu,6.94521216,227
2013-2014,Regular Season,8468309,Mark Streit,6.933596383,228
2013-2014,Regular Season,8474062,Riley Nash,6.929573904,229
2013-2014,Regular Season,8476808,Brian Flynn,6.911821015,230
2013-2014,Regular Season,8473933,Ben Lovejoy,6.872533539,231
2013-2014,Regular Season,8467396,Erik Cole,6.870173514,232
2013-2014,Regular Season,8468700,Paul Gaustad,6.832643173,233
2013-2014,Regular Season,8459670,Kimmo Timonen,6.752062235,234
2013-2014,Regular Season,8473473,Milan Lucic,6.715693163,235
2013-2014,Regular Season,8473574,Shawn Matthias,6.70903243,236
2013-2014,Regular Season,8470607,Brent Seabrook,6.69944917,237
2013-2014,Regular Season,8470222,James Wisniewski,6.601563368,238
2013-2014,Regular Season,8469639,Brooks Laich,6.582282691,239
2013-2014,Regular Season,8473504,Cal Clutterbuck,6.553777439,240
2013-2014,Regular Season,8468575,Dominic Moore,6.534873686,241
2013-2014,Regular Season,8475149,Marcus Johansson,6.506048086,242
2013-2014,Regular Season,8467831,Jeff Halpern,6.501188517,243
2013-2014,Regular Season,8474102,David Perron,6.47032282,244
2013-2014,Regular Season,8468478,Mike Weaver,6.4546629,245
2013-2014,Regular Season,8468639,John-Michael Liles,6.452205807,246
2013-2014,Regular Season,8468493,Ron Hainsey,6.442333968,247
2013-2014,Regular Season,8471851,Matt D'Agostini,6.43914964,248
2013-2014,Regular Season,8473546,Michael Grabner,6.409411117,249
2013-2014,Regular Season,8476442,Matt Nieto,6.408475647,250
2013-2014,Regular Season,8471274,Alex Goligoski,6.402565934,251
2013-2014,Regular Season,8470750,John Mitchell,6.398022942,252
2013-2014,Regular Season,8471716,Justin Abdelkader,6.389975315,253
2013-2014,Regular Season,8471686,Marc Staal,6.360285183,254
2013-2014,Regular Season,8468064,Martin Erat,6.320057792,255
2013-2014,Regular Season,8475799,Nino Niederreiter,6.308962695,256
2013-2014,Regular Season,8470302,Patrick Dwyer,6.297740928,257
2013-2014,Regular Season,8475772,Riley Sheahan,6.224991323,258
2013-2014,Regular Season,8473453,Trevor Lewis,6.212441659,259
2013-2014,Regular Season,8474176,Carl Hagelin,6.17864125,260
2013-2014,Regular Season,8464977,Dainius Zubrus,6.169886891,261
2013-2014,Regular Season,8471676,Bobby Ryan,6.1426312,262
2013-2014,Regular Season,8470699,Jan Hejda,6.114297064,263
2013-2014,Regular Season,8474569,Colin Wilson,6.114113864,264
2013-2014,Regular Season,8470169,Gregory Campbell,6.090401045,265
2013-2014,Regular Season,8471794,Darren Helm,6.08890516,266
2013-2014,Regular Season,8475164,Jakob Silfverberg,6.078189334,267
2013-2014,Regular Season,8471254,Bryan Bickell,6.072656386,268
2013-2014,Regular Season,8465951,Matt Cooke,6.029475947,269
2013-2014,Regular Season,8471284,Andrej Sekera,6.01811974,270
2013-2014,Regular Season,8471185,Curtis Glencross,6.005712524,271
2013-2014,Regular Season,8474151,Ryan McDonagh,5.976276883,272
2013-2014,Regular Season,8472382,Andy Greene,5.895212084,273
2013-2014,Regular Season,8470171,Maxime Talbot,5.845772294,274
2013-2014,Regular Season,8473564,Michael Frolik,5.770432692,275
2013-2014,Regular Season,8476881,Tomas Hertl,5.766920564,276
2013-2014,Regular Season,8477493,Aleksander Barkov,5.744001575,277
2013-2014,Regular Season,8471693,Jakub Kindl,5.739045698,278
2013-2014,Regular Season,8471743,Vladimir Sobotka,5.721342719,279
2013-2014,Regular Season,8474602,Justin Schultz,5.720449987,280
2013-2014,Regular Season,8467545,Michael Ryder,5.691830658,281
2013-2014,Regular Season,8475764,Cam Fowler,5.685332467,282
2013-2014,Regular Season,8470606,Dustin Brown,5.65114952,283
2013-2014,Regular Season,8476463,Jonas Brodin,5.650359701,284
2013-2014,Regular Season,8476806,J.T. Brown,5.634000946,285
2013-2014,Regular Season,8474681,Andrei Loktionov,5.498333125,286
2013-2014,Regular Season,8470110,Trevor Daley,5.41504391,287
2013-2014,Regular Season,8470778,Drew Miller,5.398628282,288
2013-2014,Regular Season,8470619,Brian Boyle,5.390284709,289
2013-2014,Regular Season,8471260,Blake Comeau,5.356509189,290
2013-2014,Regular Season,8473536,James Sheppard,5.355304005,291
2013-2014,Regular Season,8473485,Chris Stewart,5.34944416,292
2013-2014,Regular Season,8473482,Jiri Tlusty,5.286720464,293
2013-2014,Regular Season,8471873,Anton Stralman,5.269734935,294
2013-2014,Regular Season,8473507,Jeff Petry,5.25356056,295
2013-2014,Regular Season,8476116,Ryan Garbutt,5.24108805,296
2013-2014,Regular Season,8475153,Dylan Olsen,5.201077945,297
2013-2014,Regular Season,8470162,Matt Stajan,5.195500475,298
2013-2014,Regular Season,8469465,Dan Hamhuis,5.185780711,299
2013-2014,Regular Season,8474573,Josh Bailey,5.145001557,300
2013-2014,Regular Season,8475455,Brenden Dillon,5.140523952,301
2013-2014,Regular Season,8475199,Eric Gelinas,5.066194017,302
2013-2014,Regular Season,8471702,Matt Niskanen,5.045622777,303
2013-2014,Regular Season,8474563,Drew Doughty,5.012681015,304
2013-2014,Regular Season,8476453,Nikita Kucherov,4.983476784,305
2013-2014,Regular Season,8471311,Tyler Kennedy,4.970696863,306
2013-2014,Regular Season,8471242,Mike Green,4.964587673,307
2013-2014,Regular Season,8464975,Daniel Briere,4.95532335,308
2013-2014,Regular Season,8475184,Chris Kreider,4.911718784,309
2013-2014,Regular Season,8474625,Jimmy Hayes,4.907835335,310
2013-2014,Regular Season,8470600,Ryan Suter,4.89909236,311
2013-2014,Regular Season,8475726,Tyler Toffoli,4.89154171,312
2013-2014,Regular Season,8476062,Mark Arcobello,4.85862768,313
2013-2014,Regular Season,8473618,Mathieu Perreault,4.854220833,314
