Season,SeasonType,PlayerId,PlayerName,SumOfSumOfImpact,ImpactRank,Goals,GoalsRank,Assists,AssistsRank,Points,PointsRank,PlusMinus,PlusMinusRank,Shots,ShotsRank,Hits,HitsRank,BlockedShots,BlockedShotsRank,Giveaways,GiveawaysRank,Takeaways,TakeawaysRank,PowerPlayTimeOnIce,PPTOIRank,ShortHandedTimeOnIce,SHTOIRank,PenaltyMinutes,PIMRank,TimeOnIce,TOIRank
2014-2015,"Regular Season",8477444,"Andre Burakovsky",3.803401877,158,4,298,9,204,13,232,0,319,33,394,9,627,14,373,7,448,9,336,2058,318,0,679,6,541,20761,463
2014-2015,"Regular Season",8470877,"David Jones",1.289502011,373,6,173,4,396,10,306,4,167,42,306,40,244,14,356,11,315,6,428,1650,344,35,611,8,468,20686,464
2014-2015,"Regular Season",8471385,"Adam Pardy",0.270327358,538,0,610,4,434,4,495,6,110,15,583,33,320,23,221,14,216,4,501,84,591,2613,245,32,73,20634,465
2014-2015,"Regular Season",8476312,"Josh Manson",1.243126639,379,0,727,1,651,1,656,0,365,20,530,31,340,14,362,13,249,7,393,53,622,1845,303,25,119,20623,466
2014-2015,"Regular Season",8476495,"Seth Griffith",2.827822602,222,5,238,2,521,7,405,-4,598,30,428,13,559,11,444,5,524,11,283,2739,279,12,644,6,538,20618,467
2014-2015,"Regular Season",8475314,"Anders Lee",4.233654695,134,7,144,3,445,10,307,3,194,63,168,56,120,10,456,10,348,10,305,2400,295,0,677,15,259,20560,468
2014-2015,"Regular Season",8474625,"Jimmy Hayes",3.483482788,179,9,80,6,293,15,199,5,123,56,214,54,131,6,584,2,640,7,417,2569,287,44,602,6,534,20547,469
2014-2015,"Regular Season",8473432,"Derek Dorsett",6.146045411,70,4,262,7,268,11,271,-2,499,43,299,77,51,9,487,4,555,9,340,304,476,1354,345,77,2,20527,470
2014-2015,"Regular Season",8474646,"Brandon McMillan",0.140484888,568,1,509,2,556,3,566,-9,720,23,509,52,146,13,383,1,661,9,347,33,651,3791,129,8,435,20373,471
2014-2015,"Regular Season",8467917,"Jordan Leopold",1.769290301,309,1,452,2,546,3,556,-2,515,13,602,16,525,28,182,4,543,2,615,669,415,803,403,11,361,20122,472
2014-2015,"Regular Season",8476116,"Ryan Garbutt",4.795371678,109,5,236,5,340,10,304,-6,655,49,260,35,297,15,333,10,341,10,304,182,519,2256,270,24,129,20116,473
2014-2015,"Regular Season",8477508,"Curtis Lazar",5.098317073,99,0,764,6,326,6,412,-1,432,34,385,56,121,23,216,5,499,11,281,231,500,1265,353,8,448,19993,474
2014-2015,"Regular Season",8477505,"Alexander Wennberg",2.729827582,237,1,559,3,496,4,520,-17,767,24,497,24,435,14,369,5,519,11,282,2059,317,2177,274,12,330,19905,475
2014-2015,"Regular Season",8471657,"Cody McLeod",-2.757121084,823,2,387,3,465,5,470,2,249,29,437,95,25,18,277,3,579,7,412,228,501,3702,140,76,4,19860,476
2014-2015,"Regular Season",8470729,"Tyson Strachan",1.182181342,388,0,598,4,433,4,494,-7,680,12,616,28,382,35,132,9,366,6,432,189,515,2593,249,9,423,19830,477
2014-2015,"Regular Season",8475186,"John Moore",0.502201338,490,0,685,3,510,3,548,-1,446,29,440,32,330,19,268,12,270,1,641,1399,357,553,433,12,343,19827,478
2014-2015,"Regular Season",8471504,"Rene Bourque",1.728422003,315,1,488,5,376,6,418,-7,677,40,337,38,265,6,588,6,488,3,563,1898,328,125,542,14,292,19799,479
2014-2015,"Regular Season",8467096,"Dan Boyle",1.481496524,347,2,367,1,593,3,575,4,180,29,436,12,572,25,210,8,406,3,553,3303,244,1111,370,6,514,19714,480
2014-2015,"Regular Season",8474125,"Carl Gunnarsson",0.530092387,484,1,502,4,426,5,463,6,109,13,596,16,524,28,181,5,497,1,652,100,569,1081,372,2,639,19539,481
2014-2015,"Regular Season",8468501,"Anton Volchenkov",0.359700494,513,0,580,3,499,3,537,6,112,16,569,58,111,26,194,7,440,3,557,61,613,2052,284,6,510,19525,482
2014-2015,"Regular Season",8464989,"Matt Cullen",1.412634139,357,4,243,5,342,9,325,0,326,36,368,4,695,9,514,12,288,4,509,1209,366,709,413,4,577,19253,483
2014-2015,"Regular Season",8476975,"Cedric Paquette",3.721917147,163,5,239,2,522,7,406,2,241,37,358,48,177,20,253,5,506,10,311,137,540,2932,218,30,83,19215,484
2014-2015,"Regular Season",8466142,"Eric Brewer",0.746210913,455,0,568,4,431,4,492,4,176,15,586,37,279,23,220,4,544,0,698,87,587,2151,275,16,234,19129,485
2014-2015,"Regular Season",8470176,"Sean Bergenheim",0.233542089,545,5,210,6,300,11,276,4,160,59,196,32,324,2,673,4,565,17,121,976,384,386,469,16,241,19078,486
2014-2015,"Regular Season",8471678,"Benoit Pouliot",3.64882031,168,3,325,5,357,8,356,-3,557,28,454,26,409,13,396,12,279,10,298,2867,269,1718,313,10,397,18843,487
2014-2015,"Regular Season",8473970,"Rob Klinkhammer",0.989833203,416,4,269,2,525,6,438,4,173,32,407,76,56,2,671,3,611,4,528,145,534,0,702,4,614,18834,488
2014-2015,"Regular Season",8474052,"Chris Terry",2.715448902,239,6,181,3,446,9,337,-2,503,28,453,14,543,10,476,5,528,10,314,2061,316,2,672,8,476,18726,489
2014-2015,"Regular Season",8474576,"Zach Boychuk",-0.17805408,676,3,339,2,534,5,489,-1,440,34,386,38,267,8,522,3,600,8,383,487,442,3,669,4,606,18669,490
2014-2015,"Regular Season",8470152,"Joakim Lindstrom",2.862985701,218,3,311,3,457,6,430,-5,637,32,412,7,651,3,657,8,430,8,368,1914,326,33,614,8,469,18622,491
2014-2015,"Regular Season",8466160,"Brenden Morrow",0.814950469,445,2,366,2,537,4,523,3,209,17,558,53,141,12,416,9,383,5,474,357,460,98,556,36,52,18573,492
2014-2015,"Regular Season",8471482,"Grant Clitsome",0.569082319,481,0,614,3,505,3,543,0,342,17,560,38,268,16,314,16,174,3,540,526,433,935,389,8,451,18546,493
2014-2015,"Regular Season",8467899,"Martin Havlat",1.918123532,296,3,302,5,351,8,350,-10,729,28,461,6,665,4,642,8,428,10,307,2282,303,45,599,10,417,18522,494
2014-2015,"Regular Season",8476880,"Tom Wilson",-1.192582981,786,2,433,7,283,9,322,-1,422,32,409,69,74,13,379,2,626,7,416,46,632,10,652,69,6,18519,495
2014-2015,"Regular Season",8470803,"Kyle Brodziak",1.275679085,376,4,254,2,523,6,436,-6,661,32,413,22,455,20,257,2,622,5,488,63,611,3235,190,24,127,18415,496
2014-2015,"Regular Season",8475246,"Kevin Connauton",2.817580236,224,3,349,3,461,6,434,0,333,28,450,26,408,16,321,10,340,5,469,1302,363,43,604,6,535,18413,497
2014-2015,"Regular Season",8475192,"Taylor Beck",2.789605952,228,4,278,4,403,8,361,-1,426,31,419,30,348,9,497,3,596,8,381,1043,377,657,420,8,456,18386,498
2014-2015,"Regular Season",8476235,"Justin Fontaine",-1.323746874,791,2,425,7,282,9,321,2,237,33,392,7,650,9,512,5,530,11,284,728,403,366,473,2,654,18207,499
2014-2015,"Regular Season",8475185,"Jacob Josefson",2.977393182,211,1,517,2,557,3,567,0,347,23,500,14,545,15,345,6,473,8,372,37,646,2337,266,10,392,18092,500
2014-2015,"Regular Season",8475808,"Michael Chaput",3.076613353,198,1,531,4,429,5,466,-7,678,19,541,51,158,19,266,3,578,3,570,144,535,1883,296,19,190,18041,501
2014-2015,"Regular Season",8476389,"Vincent Trocheck",3.612221725,172,3,356,9,207,12,250,2,232,51,247,40,242,10,461,3,594,8,380,1667,343,125,543,8,462,18022,502
2014-2015,"Regular Season",8469639,"Brooks Laich",1.95054795,295,3,309,2,528,5,483,-1,438,32,410,24,430,19,270,8,411,8,366,730,402,2602,247,2,630,17963,503
2014-2015,"Regular Season",8470105,"Scottie Upshall",1.588593825,331,4,250,5,343,9,326,0,327,36,369,46,185,10,458,3,593,8,379,1274,364,1881,297,22,156,17936,504
2014-2015,"Regular Season",8474749,"Matt Bartkowski",1.196893528,386,0,671,4,437,4,498,-1,441,26,480,36,289,7,558,8,425,3,555,69,603,1474,334,24,130,17843,505
2014-2015,"Regular Season",8476207,"Brian Gibbons",1.392011893,363,0,721,5,390,5,452,2,245,19,537,12,575,15,348,5,517,5,482,987,381,2333,267,6,507,17827,506
2014-2015,"Regular Season",8476457,"Adam Larsson",-2.499792054,819,1,541,3,491,4,515,-3,564,21,523,18,502,28,180,12,266,4,507,54,620,3129,195,6,498,17691,507
2014-2015,"Regular Season",8471718,"Marc-Andre Cliche",-0.269313321,690,1,491,2,553,3,563,1,288,21,518,11,589,7,574,4,560,15,168,72,600,4929,62,13,300,17689,508
2014-2015,"Regular Season",8468700,"Paul Gaustad",0.721310496,459,1,459,5,372,6,414,4,172,16,570,50,167,20,252,5,505,8,374,33,652,3426,177,19,188,17616,509
2014-2015,"Regular Season",8470289,"Jim Slater",-1.873456896,810,1,473,2,550,3,560,2,253,22,512,51,157,19,265,5,509,3,565,98,571,4927,63,21,164,17529,510
2014-2015,"Regular Season",8474577,"Joe Colborne",0.19886518,556,0,659,9,212,9,309,1,274,16,573,44,207,8,520,12,289,5,467,1759,335,1165,364,12,339,17347,511
2014-2015,"Regular Season",8467493,"Chris Neil",-4.731732498,833,4,245,3,450,7,397,3,202,18,548,101,18,8,515,2,632,4,532,239,498,45,600,49,17,17345,512
2014-2015,"Regular Season",8465166,"Craig Adams",-0.721461571,749,1,444,3,478,4,502,1,280,24,492,63,94,10,455,3,592,3,572,94,577,5522,33,11,355,17337,513
2014-2015,"Regular Season",8475792,"Brett Connolly",1.536164545,342,6,193,0,661,6,441,-1,435,38,353,25,417,5,610,4,563,7,409,3274,249,55,590,13,309,17287,514
2014-2015,"Regular Season",8476806,"J.T. Brown",-0.795464294,761,1,547,3,494,4,518,-4,605,32,411,21,467,9,507,6,482,3,562,69,604,2636,241,17,210,17204,515
2014-2015,"Regular Season",8475770,"Emerson Etem",1.585418256,334,2,423,4,414,6,426,-4,601,45,285,27,394,8,529,7,454,3,559,677,411,384,471,2,653,17155,516
2014-2015,"Regular Season",8474605,"Patrick Wiercioch",-0.191504439,678,1,508,3,487,4,511,4,178,23,499,19,488,13,401,17,157,1,637,1533,350,220,510,18,205,17116,517
2014-2015,"Regular Season",8469490,"Tim Jackman",-1.763588921,808,2,372,2,538,4,524,-2,512,40,335,71,72,11,430,4,551,5,486,137,541,52,592,60,10,17091,518
2014-2015,"Regular Season",8471664,"Mason Raymond",0.666543058,468,5,216,2,520,7,404,-1,431,41,322,2,732,6,603,3,606,4,526,2472,291,324,484,4,587,17067,519
2014-2015,"Regular Season",8469591,"Cody McCormick",2.498171324,251,0,588,3,502,3,540,-7,683,25,490,54,134,19,263,8,410,2,601,25,665,3557,164,32,70,17059,520
2014-2015,"Regular Season",8476483,"Rickard Rakell",0.656079604,470,1,545,7,286,8,341,-1,424,34,384,31,339,10,469,10,349,5,471,1439,354,0,683,8,478,17053,521
2014-2015,"Regular Season",8473933,"Ben Lovejoy",-0.461573569,717,0,640,5,387,5,449,5,139,15,584,28,381,21,242,4,545,5,485,247,494,1553,323,9,426,16884,522
2014-2015,"Regular Season",8473465,"Jamie McGinn",1.147463935,395,4,264,2,524,6,437,-9,717,36,372,29,364,7,562,7,458,9,338,2302,301,137,538,6,526,16838,523
2014-2015,"Regular Season",8460626,"Bryce Salvador",0.822044636,444,0,564,2,565,2,584,-5,648,13,608,22,457,19,272,7,443,1,648,4,708,3633,153,20,176,16652,524
2014-2015,"Regular Season",8475902,"Zach Trotman",-0.054405443,641,0,713,4,439,4,500,-1,442,27,466,21,468,21,244,3,577,2,621,1039,378,1015,382,0,700,16608,525
2014-2015,"Regular Season",8470750,"John Mitchell",2.812899731,225,4,253,5,344,9,327,3,195,31,416,49,169,13,386,5,520,12,253,679,410,481,443,12,344,16559,526
2014-2015,"Regular Season",8471276,"David Krejci",4.629055046,120,4,258,7,267,11,270,1,273,35,377,13,557,10,478,8,420,7,400,1923,325,798,405,10,405,16482,527
2014-2015,"Regular Season",8470854,"Tanner Glass",-1.570750048,802,0,600,1,622,1,627,-10,734,17,568,80,48,16,309,6,469,2,606,93,579,2255,271,23,139,16425,528
2014-2015,"Regular Season",8475209,"Richard Panik",0.904397402,428,6,188,1,585,7,408,5,135,25,483,37,277,20,255,5,507,8,375,125,547,85,561,15,258,16340,529
2014-2015,"Regular Season",8476472,"Oscar Klefbom",0.027590332,610,0,739,1,653,1,658,-10,735,11,625,13,562,15,347,12,275,7,394,486,443,1205,359,4,567,16329,530
2014-2015,"Regular Season",8466393,"Pascal Dupuis",1.45611747,349,6,154,5,335,11,277,2,235,44,293,20,475,8,537,5,535,6,444,1705,341,2083,281,4,559,15981,531
2014-2015,"Regular Season",8470609,"Steve Bernier",0.261575757,541,2,383,7,279,9,318,4,168,30,425,43,216,15,330,5,516,6,442,781,399,0,688,4,612,15936,532
2014-2015,"Regular Season",8473573,"Artem Anisimov",3.928711437,151,2,396,4,411,6,423,-8,702,23,508,10,612,7,576,10,354,5,472,2371,296,1845,302,4,562,15935,533
2014-2015,"Regular Season",8473646,"Ryan Carter",-0.321156472,700,2,397,8,234,10,288,0,323,21,519,40,248,15,331,1,659,6,450,28,661,2976,213,28,90,15931,534
2014-2015,"Regular Season",8475250,"Andrej Nestrasil",0.648010008,473,1,520,4,427,5,464,0,334,28,451,9,628,7,578,3,604,11,287,1891,330,0,680,4,609,15896,535
2014-2015,"Regular Season",8467329,"Vincent Lecavalier",3.90684452,154,5,200,4,397,9,333,-3,556,39,344,9,625,4,638,5,538,2,612,2793,273,3,668,4,605,15799,536
2014-2015,"Regular Season",8475650,"Brandon Bollig",-0.778646394,758,0,699,2,580,2,599,-7,686,27,471,52,145,10,457,11,321,6,429,139,538,135,539,40,29,15784,537
2014-2015,"Regular Season",8476480,"Vladislav Namestnikov",3.043591442,202,2,430,3,474,5,479,2,251,25,486,12,574,11,445,5,525,10,313,1108,372,1159,365,4,568,15781,538
2014-2015,"Regular Season",8474736,"Zac Rinaldo",5.141620315,98,0,669,1,636,1,641,-9,724,21,525,103,13,11,426,3,591,4,522,216,505,937,388,37,44,15765,539
2014-2015,"Regular Season",8476467,"Jamie Oleksiak",3.165662908,193,1,543,3,493,4,517,-1,444,21,521,46,190,22,228,14,217,2,592,73,599,1033,378,8,450,15738,540
2014-2015,"Regular Season",8467346,"Simon Gagne",0.051058476,596,3,300,1,588,4,531,0,339,27,465,20,480,7,566,7,459,3,560,52,625,566,431,4,580,15604,541
2014-2015,"Regular Season",8475625,"Matt Irwin",-0.213340048,682,2,419,3,471,5,476,-6,663,18,555,16,523,19,274,9,375,5,473,1145,370,25,627,4,600,15504,542
2014-2015,"Regular Season",8477059,"Damien Brunner",1.312315021,369,2,434,5,369,7,390,-1,429,29,439,7,652,3,658,6,493,6,441,2809,272,4,667,8,475,15450,543
2014-2015,"Regular Season",8473588,"Erik Condra",1.517245757,344,3,331,1,590,4,533,0,341,31,418,10,609,9,510,3,598,9,344,59,616,2442,258,11,359,15404,544
2014-2015,"Regular Season",8476872,"Scott Laughton",0.649706206,472,2,432,3,475,5,480,1,279,36,367,29,363,5,608,9,392,6,434,612,423,1545,325,8,446,15117,545
2014-2015,"Regular Season",8476476,"Joe Morrow",0.410364673,502,1,544,0,679,1,679,3,216,20,526,18,503,22,231,3,576,2,620,330,468,431,458,4,583,15021,546
2014-2015,"Regular Season",8476856,"Matt Dumba",1.231506106,382,1,549,3,495,4,519,-4,606,28,456,8,638,12,424,15,198,1,638,1788,332,145,533,6,525,14998,547
2014-2015,"Regular Season",8471766,"Jared Boll",-1.612460263,803,0,623,2,572,2,591,-9,721,14,595,59,107,7,555,5,536,3,567,43,637,0,715,49,18,14878,548
2014-2015,"Regular Season",8475671,"Matt Fraser",1.850183183,298,3,351,0,662,3,583,-3,570,29,442,40,245,4,624,6,490,6,440,91,583,25,628,7,481,14819,549
2014-2015,"Regular Season",8474135,"Brett Bellemore",0.986279459,417,0,651,3,506,3,544,1,286,9,640,46,193,16,312,6,470,4,516,53,624,1344,346,12,337,14817,550
2014-2015,"Regular Season",8476470,"Nathan Beaulieu",-0.533757702,729,0,738,2,582,2,601,0,352,19,539,10,613,21,246,15,194,0,694,704,406,22,631,13,310,14762,551
2014-2015,"Regular Season",8471231,"Kyle Chipchura",1.554607698,340,2,385,3,463,5,468,-3,563,15,591,39,259,4,625,6,491,11,280,105,563,83,563,47,21,14703,552
2014-2015,"Regular Season",8477845,"Trevor van Riemsdyk",1.233538368,381,0,766,1,658,1,663,0,367,21,520,4,697,15,349,4,550,9,339,176,520,182,520,2,659,14619,553
2014-2015,"Regular Season",8471817,"Ryan Reaves",-1.65963123,805,3,327,2,531,5,486,0,335,17,559,102,17,10,451,2,630,3,577,63,612,12,646,45,25,14452,554
2014-2015,"Regular Season",8474089,"Brad Malone",-2.531296533,820,0,648,0,710,0,710,-10,736,22,515,65,87,2,672,7,462,12,248,196,511,1471,336,31,78,14323,555
2014-2015,"Regular Season",8467351,"Scott Gomez",1.594839857,330,2,368,5,361,7,382,-5,633,17,564,8,640,2,681,13,258,1,640,1650,345,184,519,4,591,13962,556
2014-2015,"Regular Season",8475268,"Gabriel Bourque",2.184976696,277,1,521,2,558,3,568,-3,567,23,503,36,290,10,465,4,553,7,408,523,434,842,398,4,576,13883,557
2014-2015,"Regular Season",8475247,"Michael Latta",-0.862879962,765,0,689,4,438,4,499,4,177,10,626,49,171,6,585,1,671,6,452,30,655,308,489,39,35,13752,558
2014-2015,"Regular Season",8476624,"Barclay Goodrow",3.270949191,187,2,431,4,415,6,427,0,332,26,479,24,434,15,340,8,415,11,277,118,551,341,478,14,288,13744,559
2014-2015,"Regular Season",8477850,"Christian Folin",0.98601286,418,1,561,2,564,3,574,-2,518,16,579,12,577,11,446,10,346,3,548,131,546,462,448,7,479,13496,560
2014-2015,"Regular Season",8475274,"Seth Helgeson",0.342850546,514,0,692,1,641,1,646,2,258,9,639,34,313,13,392,9,382,1,643,2,715,1011,383,16,238,13471,561
2014-2015,"Regular Season",8470063,"Adam Burish",-0.071630037,652,1,467,2,549,3,559,-6,665,22,513,11,588,19,276,2,623,4,531,79,595,1806,310,33,62,13374,562
2014-2015,"Regular Season",8476279,"Jyrki Jokipakka",-0.613642811,739,0,725,3,512,3,550,0,345,13,598,11,591,10,480,7,453,3,558,48,631,731,411,2,643,13294,563
2014-2015,"Regular Season",8471761,"Chris Butler",1.040548325,412,0,622,2,571,2,590,1,289,20,528,6,666,20,260,4,546,0,699,346,461,429,461,13,307,13226,564
2014-2015,"Regular Season",8475855,"Jesper Fast",-1.482666245,799,2,424,3,472,5,477,-1,437,16,575,31,341,10,470,1,664,5,491,50,628,1040,377,4,572,13218,565
2014-2015,"Regular Season",8475204,"Brandon Pirri",1.95935115,293,3,347,1,591,4,534,1,282,38,352,18,495,2,676,3,612,4,529,822,392,23,629,8,470,13174,566
2014-2015,"Regular Season",8465978,"Shawn Thornton",-0.091755561,657,1,446,1,602,2,604,-5,649,29,445,47,179,1,693,3,615,6,448,48,630,27,623,27,101,13167,567
2014-2015,"Regular Season",8475775,"Tye McGinn",-0.588232698,735,1,529,3,490,4,514,0,337,20,529,26,410,9,502,3,597,3,573,183,517,20,633,9,428,13164,568
2014-2015,"Regular Season",8473560,"Korbinian Holzer",0.098535903,574,0,633,4,436,4,497,5,140,15,585,58,112,21,235,10,333,6,430,17,679,1521,328,17,211,13153,569
2014-2015,"Regular Season",8467370,"Mike Fisher",1.290332116,372,3,301,4,405,7,392,1,277,20,527,24,436,9,504,1,665,3,578,1896,329,1144,367,8,449,13140,570
2014-2015,"Regular Season",8477407,"Anthony Duclair",1.732027902,314,1,555,6,321,7,379,4,171,18,547,6,667,5,618,6,489,5,479,1524,351,0,682,4,610,13129,571
2014-2015,"Regular Season",8474094,"Matt Halischuk",1.05059333,411,1,501,2,554,3,564,3,212,26,476,24,432,8,533,5,534,5,484,162,525,549,434,2,647,13033,572
2014-2015,"Regular Season",8470666,"Daniel Carcillo",2.13946711,280,4,252,3,451,7,398,5,134,35,375,24,429,5,611,3,608,4,527,91,584,0,708,28,94,12874,573
2014-2015,"Regular Season",8473514,"Jesse Joensuu",-2.016630432,815,2,393,2,541,4,527,-8,705,18,556,37,278,9,493,4,556,9,341,239,497,840,399,14,283,12754,574
2014-2015,"Regular Season",8472394,"Peter Harrold",1.724221232,317,1,495,0,666,1,666,-7,687,8,655,9,633,21,248,2,621,2,622,23,669,1812,309,0,698,12741,575
2014-2015,"Regular Season",8470622,"Patrick Eaves",0.852569417,437,3,314,5,354,8,353,3,198,26,475,24,431,13,397,3,588,6,446,605,425,442,455,4,582,12728,576
2014-2015,"Regular Season",8475178,"Zack Kassian",0.313190316,526,2,417,3,469,5,474,-5,642,25,489,33,319,0,722,4,572,3,569,504,439,6,662,26,115,12675,577
2014-2015,"Regular Season",8474717,"Mark Barberio",-1.269032825,789,0,668,1,635,1,640,-2,522,10,634,9,631,10,483,5,529,2,610,111,559,95,558,0,717,12615,578
2014-2015,"Regular Season",8475716,"Martin Marincin",1.335742488,368,0,700,1,645,1,650,-4,613,10,637,3,716,12,425,12,282,4,508,133,544,1359,344,2,635,12612,579
2014-2015,"Regular Season",8469501,"Chris Thorburn",-1.552974852,801,2,373,1,594,3,576,-1,448,24,494,34,310,8,525,5,532,5,483,100,567,0,707,35,57,12468,580
2014-2015,"Regular Season",8477500,"Bo Horvat",2.429191404,257,1,558,5,379,6,421,-2,509,15,589,17,514,7,569,0,712,4,534,92,581,424,464,6,520,12412,581
2014-2015,"Regular Season",8470162,"Matt Stajan",-2.784895387,825,1,471,3,482,4,506,1,281,12,611,32,333,8,527,8,422,5,475,116,555,1706,315,16,236,12333,582
2014-2015,"Regular Season",8471762,"Chris VandeVelde",0.068947669,589,1,492,3,484,4,508,-4,604,21,524,34,311,14,359,1,660,2,625,94,578,632,424,12,342,12319,583
2014-2015,"Regular Season",8469622,"Ryane Clowe",0.371497519,512,1,465,3,480,4,504,-1,443,15,588,21,470,1,699,3,616,3,575,2147,309,19,635,4,601,12224,584
2014-2015,"Regular Season",8474001,"TJ Galiardi",1.82867221,303,0,644,0,706,0,706,-5,651,17,565,19,490,8,538,3,601,4,524,114,556,2981,211,2,627,12146,585
2014-2015,"Regular Season",8476195,"Cory Conacher",0.498489226,492,1,534,2,561,3,571,-3,568,23,504,19,489,7,567,3,603,6,447,689,408,11,648,14,298,12132,586
2014-2015,"Regular Season",8470647,"B.J. Crombeen",-1.085622286,779,1,478,1,604,2,606,-4,610,17,563,32,331,5,607,1,674,2,626,42,639,34,612,43,26,12044,587
2014-2015,"Regular Season",8476448,"William Karlsson",4.571626122,125,2,428,1,599,3,581,3,213,24,491,10,611,6,597,8,426,7,401,2423,293,0,676,2,672,11941,588
2014-2015,"Regular Season",8475151,"Kyle Palmieri",-0.138572825,669,5,232,4,400,9,336,1,276,26,478,25,418,8,532,8,423,2,603,1735,338,11,647,23,143,11832,589
2014-2015,"Regular Season",8474150,"Mikael Backlund",1.061478284,407,1,503,3,486,4,510,0,336,18,552,11,590,4,635,8,427,7,402,645,420,1219,358,4,566,11778,590
2014-2015,"Regular Season",8476779,"Brad Hunt",-0.308834835,699,1,546,2,562,3,572,-3,569,18,554,7,654,10,485,6,480,5,478,1464,352,438,456,0,706,11733,591
2014-2015,"Regular Season",8475279,"Ben Chiarot",0.929658541,425,0,693,2,579,2,598,4,182,11,618,19,492,20,258,8,409,3,554,5,703,700,415,4,578,11719,592
2014-2015,"Regular Season",8476244,"Raphael Diaz",-0.016893982,631,0,724,0,743,0,743,-4,618,9,645,11,594,22,233,7,442,1,647,402,455,16,638,4,602,11680,593
2014-2015,"Regular Season",8474661,"Michal Jordan",0.907335364,427,0,666,0,718,0,718,-4,617,12,615,9,630,14,374,8,417,2,602,1201,367,9,655,2,668,11638,594
2014-2015,"Regular Season",8468635,"Travis Moen",0.525136922,488,0,582,0,686,0,686,-3,577,13,606,27,398,14,367,3,585,4,521,8,696,1564,322,9,425,11619,595
2014-2015,"Regular Season",8475182,"David Rundblad",0.284814931,533,1,516,3,488,4,512,8,76,21,516,8,639,10,484,12,287,2,595,671,413,0,689,2,675,11436,596
2014-2015,"Regular Season",8473942,"Trevor Smith",0.275505455,536,0,641,2,576,2,595,1,290,9,641,35,301,10,466,3,595,4,523,67,607,1236,356,2,636,11001,597
2014-2015,"Regular Season",8477902,"Dennis Everberg",-0.10606677,662,1,562,3,497,4,521,0,338,19,538,26,411,8,531,5,533,6,443,110,561,424,463,4,585,10827,598
2014-2015,"Regular Season",8474145,"Robert Bortuzzo",1.840378478,301,2,406,3,468,5,473,3,208,16,572,44,206,14,353,3,583,1,659,35,649,542,436,18,204,10779,599
2014-2015,"Regular Season",8471245,"Dave Bolland",0.132078299,570,0,604,3,504,3,542,1,285,11,620,13,561,7,570,1,669,3,580,600,426,1552,324,12,336,10576,600
2014-2015,"Regular Season",8467332,"Bryan Allen",0.269081243,539,0,571,2,568,2,587,-2,520,6,672,20,482,15,341,8,416,0,697,0,739,948,387,6,515,10377,601
2014-2015,"Regular Season",8475325,"Jordan Nolan",1.178394847,390,1,523,0,671,1,671,-3,576,17,562,29,370,4,628,4,564,1,654,97,572,10,650,16,247,10359,602
2014-2015,"Regular Season",8475214,"Jeremy Morin",-0.153480205,672,0,688,1,639,1,644,0,362,37,361,21,466,1,698,4,568,6,445,260,489,0,695,19,192,10166,603
2014-2015,"Regular Season",8475119,"Zach Sill",0.086947796,583,0,676,0,721,0,721,-1,474,12,613,57,117,6,583,1,670,6,451,76,597,397,468,41,27,10138,604
2014-2015,"Regular Season",8470054,"Keith Ballard",0.309296588,528,0,591,1,620,1,625,-3,574,5,681,15,536,20,259,5,508,2,609,31,654,610,425,26,110,10126,605
2014-2015,"Regular Season",8474130,"Corey Tropp",-0.148001624,671,0,650,1,631,1,636,-9,723,5,683,30,352,8,528,2,634,6,449,71,602,0,709,37,46,9905,606
2014-2015,"Regular Season",8471490,"Adam Cracknell",0.544610705,482,0,615,1,627,1,632,-8,710,17,567,41,232,5,606,3,607,5,487,78,596,570,429,2,645,9702,607
2014-2015,"Regular Season",8476468,"J.T. Miller",1.287143219,375,4,292,1,587,5,491,-4,603,23,505,21,469,8,536,4,558,11,286,761,400,57,587,2,665,9683,608
2014-2015,"Regular Season",8476919,"Chris Tierney",2.483782087,252,0,751,2,583,2,602,-3,571,13,604,6,668,6,600,7,461,7,404,189,514,115,549,4,593,9524,609
2014-2015,"Regular Season",8474048,"Keith Aulie",-0.127383944,666,0,647,0,709,0,709,2,259,10,627,23,447,11,439,6,477,1,649,9,694,431,459,32,74,9427,610
2014-2015,"Regular Season",8475310,"Curtis McKenzie",2.10528335,285,1,522,0,670,1,670,-7,688,17,566,34,312,7,559,7,456,7,403,14,681,120,546,19,191,9414,611
2014-2015,"Regular Season",8473589,"Chris Summers",-0.77131782,756,0,635,2,574,2,593,-8,708,8,656,28,383,16,320,3,580,1,658,38,644,1178,363,2,637,9196,612
2014-2015,"Regular Season",8476443,"Xavier Ouellet",-0.727697392,750,1,540,1,613,2,615,3,214,18,549,2,733,7,582,3,605,1,660,85,589,669,417,0,702,9168,613
2014-2015,"Regular Season",8474606,"Colby Robak",1.357573953,367,0,662,0,716,0,716,0,383,8,650,13,563,8,545,6,483,1,650,49,629,401,466,2,652,9140,614
2014-2015,"Regular Season",8469664,"David Moss",-1.482003721,798,0,589,1,619,1,624,-8,709,18,557,15,533,8,543,2,635,4,533,56,618,1065,373,4,570,9136,615
2014-2015,"Regular Season",8469547,"Jordin Tootoo",-0.994962047,775,2,374,0,664,2,620,1,292,10,628,44,208,1,694,8,431,3,556,5,704,17,637,33,64,8919,616
