Season,SeasonType,PlayerId,PlayerName,SumOfSumOfImpact,ImpactRank,Goals,GoalsRank,Assists,AssistsRank,Points,PointsRank,PlusMinus,PlusMinusRank,Shots,ShotsRank,Hits,HitsRank,BlockedShots,BlockedShotsRank,Giveaways,GiveawaysRank,Takeaways,TakeawaysRank,PowerPlayTimeOnIce,PPTOIRank,ShortHandedTimeOnIce,SHTOIRank,PenaltyMinutes,PIMRank,TimeOnIce,TOIRank
2014-2015,"Regular Season",8473492,"Matt Beleskey",1.988277231,292,15,11,4,392,19,133,12,28,85,69,80,45,18,278,17,155,9,318,3924,198,637,422,20,182,32594,231
2014-2015,"Regular Season",8468508,"Justin Williams",1.700133646,318,8,95,11,149,19,127,5,121,85,72,16,519,10,475,19,114,11,262,3605,227,400,467,21,169,32531,232
2014-2015,"Regular Season",8475848,"Brendan Gallagher",4.241300932,133,9,87,9,188,18,143,6,95,97,44,18,493,15,342,10,343,17,119,4180,179,140,537,12,349,32529,233
2014-2015,"Regular Season",8468064,"Martin Erat",1.211101119,384,6,159,9,197,15,191,-8,692,40,338,44,203,8,519,11,323,10,301,3809,205,1534,327,30,84,32459,234
2014-2015,"Regular Season",8475149,"Marcus Johansson",2.180904677,278,9,83,11,148,20,120,0,311,64,163,28,377,6,592,13,256,10,297,6040,79,84,562,0,719,32428,235
2014-2015,"Regular Season",8473419,"Brad Marchand",4.773748058,110,10,61,11,143,21,103,9,57,75,105,21,460,7,565,20,104,26,18,2856,270,2489,255,38,41,32420,236
2014-2015,"Regular Season",8476062,"Mark Arcobello",-0.223772556,684,7,147,5,334,12,266,-5,630,53,239,53,138,13,382,20,99,22,55,1793,331,2569,253,12,327,32311,237
2014-2015,"Regular Season",8468085,"Radim Vrbata",6.140245729,71,13,22,12,122,25,56,0,307,116,10,16,516,8,541,10,353,12,243,5909,87,318,485,4,588,32306,238
2014-2015,"Regular Season",8475193,"Tomas Tatar",4.108889647,139,14,17,10,167,24,64,2,222,91,54,33,315,9,496,15,200,13,211,5282,121,30,618,12,352,32167,239
2014-2015,"Regular Season",8476881,"Tomas Hertl",2.620530429,244,7,152,7,254,14,216,-3,551,65,158,27,390,9,500,31,24,7,385,3040,260,53,591,10,416,32151,240
2014-2015,"Regular Season",8476437,"Victor Rask",7.427623229,37,4,290,5,349,9,332,-8,699,76,102,14,539,13,403,12,280,20,84,5173,130,315,488,10,410,32074,241
2014-2015,"Regular Season",8474774,"Dalton Prout",-0.547032976,730,0,673,5,388,5,450,-10,731,28,462,76,57,43,90,8,396,2,599,44,636,3826,127,40,28,32051,242
